edge,machineType,sensorId,min10,max90,median,avg,std
a02,AC,a02sncac,9.13,9.62,9.38,9.3913,0.5705
a02,AF,a02sncaf,1.97,2.04,2.0,2.0192,0.2455
a02,AP,a02sncap,2.0,2.12,2.07,2.0697,0.1875
a02,H,a02snch,6.75,7.2,6.96,6.811,1.0458
a02,L,a02sncl,1.873,2.005,1.955,1.9407,0.0551
a02,V,a02sncv,0.25,0.38,0.3,0.3075,0.0558
a03,AC,a03sncac,8.826,9.32,9.04,9.0389,0.4682
a03,AF,a03sncaf,2.34,2.42,2.38,2.4041,0.3161
a03,AP,a03sncap,2.1,2.21,2.15,2.1537,0.0421
a03,H,a03snch,7.406,7.61,7.58,7.53,0.113
a03,L,a03sncl,2.12,2.23,2.19,2.1816,0.0453
a03,V,a03sncv,0.52,0.52,0.52,0.52,0.0
a04,AC,a04sncac,9.89,10.36,10.12,10.1245,0.2116
a04,AF,a04sncaf,3.11,3.38,3.25,3.25,0.1771
a04,AP,a04sncap,2.139,2.29,2.22,2.2153,0.0644
a04,H,a04snch,7.15,7.66,7.42,7.0872,1.5341
a04,L,a04sncl,1.978,2.06,2.0,2.0058,0.0656
a04,V,a04sncv,0.43,0.66,0.48,0.5177,0.1108
a05,AC,a05sncac,9.71,10.19,9.94,9.9511,0.2529
a05,AF,a05sncaf,2.42,2.48,2.45,2.4599,0.1355
a05,AP,a05sncap,2.16,2.24,2.2,2.2005,0.0325
a05,H,a05snch,7.02,7.42,7.22,7.1844,0.5139
a05,L,a05sncl,1.94,10.46,2.01,3.6464,3.4948
a05,V,a05sncv,0.65,1.01,0.87,0.8524,0.164
a06,AC,a06sncac,8.86,9.335,9.09,9.1004,0.3113
a06,AF,a06sncaf,2.78,2.96,2.87,2.8783,0.2561
a06,AP,a06sncap,2.06,2.21,2.15,2.1414,0.1184
a06,H,a06snch,7.36,7.95,7.65,7.2451,1.6573
a06,L,a06sncl,1.86,2.07,1.9,2.4095,2.1182
a06,V,a06sncv,0.48,0.67,0.5,0.5531,0.1009
a07,AC,a07sncac,9.57,10.04,9.8,9.7983,0.6169
a07,AF,a07sncaf,3.07,3.3,3.19,3.1953,0.2492
a07,AP,a07sncap,2.16,2.27,2.23,2.2222,0.126
a07,H,a07snch,6.42,6.84,6.64,6.4829,1.0474
a07,L,a07sncl,2.086,10.928,2.2,4.0674,3.6774
a07,V,a07sncv,0.374,0.67,0.49,0.5204,0.1256
a08,AC,a08sncac,9.8,10.36,10.08,10.0834,0.4715
a08,AF,a08sncaf,3.2,3.34,3.27,3.2749,0.1287
a08,AP,a08sncap,2.14,2.25,2.21,2.206,0.1125
a08,H,a08snch,7.95,8.59,8.24,8.106,1.0832
a08,L,a08sncl,2.16,2.32,2.24,2.2401,0.0668
a08,V,a08sncv,0.45,0.49,0.47,0.4734,0.0489
a09,AC,a09sncac,9.91,10.78,10.44,10.3909,0.3485
a09,AF,a09sncaf,1.84,1.88,1.86,1.8678,0.1914
a09,AP,a09sncap,1.97,2.07,2.02,2.0152,0.0419
a09,H,a09snch,6.61,7.05,6.83,6.6139,1.2065
a09,L,a09sncl,2.03,11.234,2.2,4.4239,3.9216
a09,V,a09sncv,0.39,0.67,0.49,0.5166,0.1182
a10,AC,a10sncac,9.87,10.47,10.17,10.1758,0.4036
a10,AF,a10sncaf,3.11,3.31,3.22,3.22,0.189
a10,AP,a10sncap,2.2,2.36,2.3,2.2918,0.1477
a10,H,a10snch,6.78,7.21,7.0,6.8309,1.0692
a10,L,a10sncl,1.97,2.1,2.06,2.0527,0.0533
a10,V,a10sncv,0.54,0.69,0.57,0.5925,0.1021
a11,AC,a11sncac,10.38,10.93,10.66,10.6655,0.3607
a11,AF,a11sncaf,2.65,2.74,2.69,2.7225,0.3728
a11,AP,a11sncap,2.43,2.55,2.49,2.4934,0.1194
a11,H,a11snch,6.45,6.95,6.71,6.2976,1.6604
a11,L,a11sncl,1.766,10.542,2.07,3.7438,3.4409
