edge,machineType,sensorId,min10,max90,median,avg,std
a02,AC,a02sncac,9.029,9.341,9.18,9.1844,0.1296
a02,AF,a02sncaf,2.01,2.06,2.03,2.033,0.0187
a02,AP,a02sncap,2.02,2.11,2.08,2.0672,0.0399
a02,H,a02snch,6.84,7.26,7.05,7.052,0.1717
a02,L,a02sncl,1.929,2.026,1.96,1.9725,0.0482
a02,V,a02sncv,0.24,0.39,0.31,0.3137,0.0623
a03,AC,a03sncac,9.054,9.36,9.23,9.2251,0.1249
a03,AF,a03sncaf,2.38,2.43,2.41,2.408,0.0204
a03,AP,a03sncap,2.15,2.23,2.19,2.1875,0.0359
a03,L,a03sncl,2.13,2.25,2.21,2.1964,0.0495
a04,AC,a04sncac,9.783,10.097,9.93,9.9421,0.125
a04,AF,a04sncaf,3.2,3.347,3.26,3.2675,0.0547
a04,AP,a04sncap,2.16,2.277,2.23,2.2206,0.0505
a04,H,a04snch,7.08,7.45,7.31,7.2888,0.1516
a04,L,a04sncl,2.012,2.06,2.05,2.04,0.0228
a04,V,a04sncv,0.431,0.66,0.48,0.5247,0.106
a05,AC,a05sncac,9.578,9.902,9.74,9.736,0.141
a05,AF,a05sncaf,2.44,2.49,2.46,2.4607,0.0173
a05,AP,a05sncap,2.15,2.23,2.2,2.1936,0.0291
a05,H,a05snch,6.92,7.291,7.115,7.1076,0.1348
a05,L,a05sncl,2.008,2.128,2.08,2.07,0.0616
a05,V,a05sncv,0.578,1.02,0.9,0.8784,0.186
a06,AC,a06sncac,8.936,9.227,9.08,9.0825,0.1174
a06,AF,a06sncaf,2.853,2.95,2.91,2.9074,0.0423
a06,AP,a06sncap,2.09,2.2,2.16,2.1514,0.0496
a06,H,a06snch,7.5,8.146,7.715,7.7832,0.2736
a06,L,a06sncl,1.866,1.907,1.89,1.8875,0.0192
a06,V,a06sncv,0.49,0.67,0.575,0.5739,0.0899
a07,AC,a07sncac,9.575,9.905,9.77,9.7493,0.1244
a07,AF,a07sncaf,3.18,3.29,3.23,3.2359,0.0498
a07,AP,a07sncap,2.175,2.25,2.21,2.2124,0.0293
a07,H,a07snch,6.41,6.86,6.6,6.6055,0.1783
a07,L,a07sncl,2.17,8.442,2.33,4.352,3.8802
a07,V,a07sncv,0.468,0.67,0.49,0.5351,0.1106
a08,AC,a08sncac,9.865,10.245,10.07,10.063,0.144
a08,AF,a08sncaf,3.25,3.34,3.28,3.2865,0.0339
a08,AP,a08sncap,2.17,2.24,2.21,2.2088,0.0301
a08,H,a08snch,7.868,8.496,8.15,7.8299,1.5785
a08,L,a08sncl,2.178,2.352,2.25,2.2595,0.0631
a08,V,a08sncv,0.42,0.627,0.47,0.4744,0.0901
a09,AC,a09sncac,10.032,10.568,10.345,10.2993,0.2242
a09,AF,a09sncaf,1.86,1.88,1.87,1.872,0.0085
a09,AP,a09sncap,1.99,2.04,2.02,2.0189,0.023
a09,H,a09snch,0.651,6.88,6.675,5.9801,2.0973
a09,L,a09sncl,2.194,10.97,6.225,6.48,4.2878
a09,V,a09sncv,0.35,0.67,0.49,0.5174,0.121
a10,AC,a10sncac,9.764,10.286,9.97,10.0812,0.9196
a10,AF,a10sncaf,3.2,3.32,3.24,3.2901,0.4817
a10,AP,a10sncap,2.25,2.376,2.33,2.3505,0.3842
a10,H,a10snch,6.84,7.228,6.99,7.0117,0.1498
a10,L,a10sncl,1.96,2.1,2.02,2.03,0.0628
a10,V,a10sncv,0.54,0.69,0.57,0.5914,0.096
a11,AC,a11sncac,10.288,10.64,10.47,10.4697,0.1487
a11,AF,a11sncaf,2.69,2.74,2.7,2.7079,0.0184
a11,AP,a11sncap,2.48,2.58,2.54,2.5319,0.0373
a11,H,a11snch,6.505,7.025,6.73,6.3202,1.6967
a11,L,a11sncl,1.416,11.57,2.09,4.0267,4.1032
a11,V,a11sncv,0.213,0.39,0.3,0.3149,0.0708
a12,AC,a12sncac,10.272,10.93,10.665,10.6392,0.2552
a12,AF,a12sncaf,2.72,2.83,2.76,2.7738,0.0669
a12,AP,a12sncap,2.53,2.65,2.6,2.5932,0.0475
a12,H,a12snch,7.189,7.641,7.37,7.3662,0.3731
a12,L,a12sncl,2.178,2.35,2.29,2.2156,0.246
a12,V,a12sncv,0.3,0.32,0.31,0.3064,0.0093
a13,AC,a13sncac,9.91,11.37,10.2,10.4187,0.5718
a13,AF,a13sncaf,3.525,3.71,3.62,3.6185,0.0788
a13,H,a13snch,3.864,8.23,7.88,7.059,2.2186
a13,L,a13sncl,1.68,1.68,1.68,1.68,0.0
a13,V,a13sncv,0.31,0.4,0.32,0.3434,0.0536
a14,AC,a14sncac,10.748,11.434,11.07,11.0738,0.2852
a14,AF,a14sncaf,3.138,3.26,3.2,3.2177,0.2076
a14,AP,a14sncap,1.69,1.75,1.73,1.7218,0.0289
a14,H,a14snch,7.45,7.9,7.66,7.6368,0.5331
a14,L,a14sncl,2.04,2.145,2.1,2.0975,0.0378
a14,V,a14sncv,0.3,0.32,0.31,0.3125,0.0082
a15,AC,a15sncac,10.759,11.152,10.945,10.9487,0.159
a15,AF,a15sncaf,3.279,3.4,3.33,3.3324,0.0535
a15,AP,a15sncap,2.52,2.59,2.56,2.5535,0.0258
a15,H,a15snch,7.27,7.72,7.47,7.4879,0.1733
a15,L,a15sncl,2.025,2.193,2.04,2.109,0.1646
a15,V,a15sncv,0.277,0.3,0.29,0.2838,0.0317
a16,AC,a16sncac,10.17,10.714,10.46,10.5667,1.2821
a16,AF,a16sncaf,2.44,2.5,2.47,2.4715,0.0452
a16,AP,a16sncap,2.23,2.3,2.27,2.2909,0.2317
a16,H,a16snch,6.967,7.41,7.15,7.1727,0.1725
a16,L,a16sncl,2.14,2.248,2.19,2.1854,0.0521
a16,V,a16sncv,0.29,0.39,0.3,0.3045,0.0452
a17,AC,a17sncac,9.45,9.778,9.61,9.6016,0.1474
a17,AF,a17sncaf,4.031,4.21,4.115,4.1179,0.0731
a17,AP,a17sncap,2.42,2.48,2.45,2.4481,0.0215
a17,H,a17snch,6.97,7.41,7.17,7.1834,0.1773
a17,L,a17sncl,2.198,2.334,2.24,2.2522,0.0545
a17,V,a17sncv,0.29,0.3,0.3,0.2964,0.0064
a18,AC,a18sncac,9.96,10.56,10.26,10.3549,1.1541
a18,AF,a18sncaf,2.17,2.22,2.19,2.2954,0.6786
a18,AP,a18sncap,2.33,2.41,2.38,2.4118,0.4053
a18,H,a18snch,5.86,6.07,5.97,5.976,0.2744
a18,L,a18sncl,2.09,2.228,2.145,2.1567,0.0614
a18,V,a18sncv,0.3,0.324,0.31,0.3041,0.0441
a19,AC,a19sncac,9.73,10.16,9.95,9.9432,0.1594
a19,AF,a19sncaf,2.39,2.43,2.41,2.4117,0.0156
a19,AP,a19sncap,2.34,2.405,2.37,2.3714,0.0276
a19,H,a19snch,7.18,7.662,7.38,7.3069,0.85
a19,L,a19sncl,2.041,10.418,2.105,4.1408,3.6234
a19,V,a19sncv,0.28,0.3,0.29,0.2812,0.0389
a20,AC,a20sncac,10.15,10.52,10.32,10.3137,0.1833
a20,AF,a20sncaf,2.11,2.15,2.13,2.1843,0.4211
a20,AP,a20sncap,2.48,2.55,2.51,2.5133,0.0268
a20,H,a20snch,7.23,7.738,7.44,7.1972,1.4567
a20,L,a20sncl,2.63,8.55,5.59,5.59,3.7
a20,V,a20sncv,0.29,0.386,0.3,0.3077,0.0498
c01,AC,c01sncac,9.882,10.16,10.03,10.0305,0.1154
c01,AF,c01sncaf,3.621,3.759,3.68,3.6869,0.0533
c01,AP,c01sncap,2.11,2.23,2.18,2.1735,0.0548
c01,H,c01snch,5.48,7.594,5.66,6.0306,0.8107
c01,L,c01sncl,2.139,2.2,2.18,2.1725,0.0295
c01,V,c01sncv,0.63,0.66,0.64,0.6418,0.0144
c02,AC,c02sncac,9.88,10.2,10.04,10.0423,0.1344
c02,AF,c02sncaf,3.25,3.39,3.29,3.3058,0.0617
c02,AP,c02sncap,1.54,1.62,1.58,1.5782,0.0293
c02,H,c02snch,6.92,7.49,7.17,6.7888,1.6193
c02,L,c02sncl,1.27,1.478,1.43,1.3833,0.1112
c02,V,c02sncv,0.91,0.968,0.93,0.9365,0.0375
c03,AC,c03sncac,9.615,10.06,9.82,9.8257,0.1669
c03,AF,c03sncaf,3.19,3.29,3.22,3.2337,0.0394
c03,AP,c03sncap,2.23,2.36,2.31,2.3029,0.0508
c03,H,c03snch,5.62,5.95,5.78,5.7844,0.1239
c03,L,c03sncl,1.71,1.78,1.76,1.7545,0.0271
c03,V,c03sncv,0.91,0.95,0.92,0.9285,0.018
c04,AC,c04sncac,9.44,9.878,9.64,9.6328,0.1996
c04,AF,c04sncaf,3.01,3.12,3.06,3.0589,0.0411
c04,AP,c04sncap,2.102,2.218,2.16,2.162,0.0424
c04,H,c04snch,6.015,6.395,6.23,6.0216,0.988
c04,L,c04sncl,2.61,2.61,2.61,2.61,0.0
c04,V,c04sncv,0.91,0.95,0.93,0.9316,0.0226
c05,AC,c05sncac,9.17,9.66,9.41,9.4193,0.2634
c05,AF,c05sncaf,2.78,2.86,2.83,2.9035,0.9577
c05,AP,c05sncap,2.21,2.33,2.3,2.3119,0.3306
c05,H,c05snch,6.15,6.54,6.4,6.3611,0.1664
c05,L,c05sncl,1.83,1.921,1.88,1.879,0.0327
c05,V,c05sncv,0.9,0.95,0.92,0.9249,0.0249
c06,AC,c06sncac,8.596,8.924,8.71,8.7318,0.1266
c06,AF,c06sncaf,3.25,3.36,3.31,3.3045,0.044
c06,AP,c06sncap,2.13,2.22,2.16,2.169,0.0362
c06,H,c06snch,7.456,7.95,7.68,7.3672,1.5465
c06,L,c06sncl,2.524,2.596,2.54,2.5567,0.0386
c06,V,c06sncv,0.91,0.95,0.93,0.9287,0.0227
c07,AC,c07sncac,9.473,9.807,9.64,9.7278,1.2407
c07,AF,c07sncaf,2.614,4.438,2.66,2.8962,0.7798
c07,AP,c07sncap,2.213,2.36,2.3,2.3222,0.3479
c07,H,c07snch,6.54,7.0,6.73,6.6541,0.5913
c07,L,c07sncl,1.944,2.044,2.0,1.9989,0.0433
c07,V,c07sncv,0.92,0.97,0.94,0.9424,0.0195
c08,AC,c08sncac,9.45,9.89,9.69,9.6838,0.1657
c08,AF,c08sncaf,2.958,3.05,3.01,3.0048,0.0369
c08,AP,c08sncap,2.24,2.33,2.28,2.2821,0.0369
c08,H,c08snch,7.0,7.54,7.24,6.9149,1.5531
c08,L,c08sncl,2.08,2.216,2.2,2.1567,0.0759
c08,V,c08sncv,0.89,0.93,0.91,0.9087,0.0176
c09,AC,c09sncac,9.3,9.792,9.49,9.5337,0.1975
c09,AF,c09sncaf,4.04,4.2,4.1,4.1095,0.0612
c09,AP,c09sncap,2.13,2.26,2.19,2.1962,0.0481
c09,H,c09snch,7.17,7.516,7.33,7.3375,0.1523
c09,L,c09sncl,1.94,2.05,2.01,2.0038,0.0443
c09,V,c09sncv,0.92,0.95,0.93,0.9365,0.025
c10,AC,c10sncac,9.44,9.86,9.62,9.6398,0.1715
c10,AF,c10sncaf,3.25,3.35,3.29,3.3,0.0407
c10,AP,c10sncap,2.12,2.19,2.16,2.1557,0.0249
c10,H,c10snch,5.56,5.81,5.69,5.6659,0.3016
c10,L,c10sncl,2.32,2.45,2.41,2.3918,0.0557
c10,V,c10sncv,0.91,0.95,0.93,0.9288,0.0157
c11,AC,c11sncac,9.703,9.997,9.85,9.8502,0.1098
c11,AF,c11sncaf,3.64,3.74,3.67,3.6869,0.0409
c11,AP,c11sncap,2.19,2.25,2.22,2.2217,0.0232
c11,H,c11snch,6.163,6.567,6.36,6.3293,0.4778
c11,L,c11sncl,2.16,2.29,2.23,2.2273,0.0492
c11,V,c11sncv,0.92,0.953,0.93,0.9347,0.0352
c12,AC,c12sncac,10.539,11.044,10.675,10.7436,0.2087
c12,AF,c12sncaf,3.11,3.16,3.13,3.138,0.0193
c12,AP,c12sncap,2.06,2.09,2.08,2.0764,0.0152
c12,H,c12snch,7.132,7.438,7.28,7.2903,0.1255
c12,L,c12sncl,2.253,2.35,2.3,2.2987,0.0621
c12,V,c12sncv,0.91,0.94,0.92,0.9216,0.0141
c13,AC,c13sncac,9.167,9.51,9.37,9.3543,0.1382
c13,AF,c13sncaf,3.311,3.35,3.33,3.3316,0.0144
c13,AP,c13sncap,2.21,2.26,2.23,2.232,0.0192
c13,H,c13snch,6.682,7.01,6.84,6.845,0.1203
c13,L,c13sncl,2.29,2.48,2.37,2.3791,0.0722
c13,V,c13sncv,0.89,0.93,0.91,0.9129,0.0177
c14,AC,c14sncac,9.42,9.862,9.55,9.5924,0.1633
c14,AF,c14sncaf,3.17,3.2,3.19,3.1888,0.0149
c14,AP,c14sncap,2.236,2.284,2.27,2.2612,0.0191
c14,H,c14snch,7.12,7.44,7.22,7.2554,0.1264
c14,L,c14sncl,2.61,2.75,2.68,2.6824,0.0588
c14,V,c14sncv,0.91,0.946,0.93,0.9285,0.0142
c15,L,c15sncl,1.8,1.95,1.85,1.8593,0.0568
c16,H,c16snch,3.57,3.57,3.57,3.57,0.0
c16,L,c16sncl,2.24,2.4,2.34,2.3263,0.0617
c17,AF,c17sncaf,3.37,3.37,3.37,3.37,0.0
c17,H,c17snch,0.3,0.3,0.3,0.3,0.0
c17,L,c17sncl,1.95,1.993,1.965,1.9656,0.0271
c18,H,c18snch,6.14,6.14,6.14,6.14,0.0
c19,V,c19sncv,1.03,1.334,1.26,1.1811,0.1339
c20,AC,c20sncac,8.892,9.339,9.07,9.0897,0.1696
c20,AF,c20sncaf,2.74,2.82,2.78,2.7812,0.0302
c20,AP,c20sncap,2.141,2.21,2.17,2.1753,0.0259
c20,H,c20snch,0.434,0.466,0.45,0.45,0.02
c20,L,c20sncl,2.076,2.2,2.16,2.1497,0.0467
c20,V,c20sncv,0.668,1.216,0.98,0.9613,0.2358
c21,AC,c21sncac,10.184,10.398,10.35,10.306,0.0989
c21,AF,c21sncaf,3.77,3.802,3.77,3.782,0.016
c21,AP,c21sncap,2.4,2.44,2.42,2.42,0.0179
c21,L,c21sncl,2.795,2.84,2.815,2.813,0.0245
d01,AC,d01sncac,8.998,9.472,9.23,9.2407,0.1908
d01,AF,d01sncaf,3.19,3.3,3.24,3.2414,0.0425
d01,AP,d01sncap,2.39,2.47,2.44,2.4346,0.033
d01,H,d01snch,5.96,8.417,8.12,7.4266,2.1453
d01,L,d01sncl,2.01,2.14,2.09,2.0854,0.0478
d01,V,d01sncv,0.473,0.66,0.54,0.553,0.1036
d02,AC,d02sncac,9.312,9.6,9.44,9.4562,0.1191
d02,AF,d02sncaf,2.74,2.818,2.77,2.7757,0.0264
d02,AP,d02sncap,2.282,2.43,2.37,2.3678,0.0563
d02,H,d02snch,8.08,8.506,8.32,8.3205,0.1993
d02,L,d02sncl,1.66,1.73,1.7,1.7008,0.0322
d02,V,d02sncv,0.3,0.36,0.33,0.33,0.0249
d03,AC,d03sncac,9.47,9.948,9.77,9.7346,0.2
d03,AF,d03sncaf,2.77,2.846,2.81,2.807,0.0315
d03,AP,d03sncap,2.44,2.52,2.49,2.4865,0.0312
d03,H,d03snch,0.314,7.496,7.11,5.685,2.7431
d03,L,d03sncl,2.512,2.62,2.56,2.5633,0.0433
d03,V,d03sncv,0.32,0.4,0.33,0.3545,0.0356
d04,AC,d04sncac,8.9,9.258,9.05,8.95,1.0243
d04,AF,d04sncaf,3.29,3.41,3.34,3.34,0.0446
d04,AP,d04sncap,2.545,2.64,2.6,2.5967,0.0395
d04,H,d04snch,1.606,8.036,7.72,6.9597,2.2527
d04,L,d04sncl,2.12,2.196,2.16,2.1594,0.0281
d04,V,d04sncv,0.298,0.4,0.31,0.3241,0.0631
d05,AC,d05sncac,9.308,9.656,9.44,9.4595,0.1543
d05,AF,d05sncaf,3.238,3.34,3.31,3.3002,0.0434
d05,AP,d05sncap,2.36,2.49,2.44,2.4356,0.0457
d05,H,d05snch,6.389,7.08,6.75,6.4321,1.5655
d05,L,d05sncl,3.773,3.887,3.82,3.8271,0.0416
d05,V,d05sncv,0.461,0.653,0.48,0.4943,0.0804
d06,AC,d06sncac,9.422,9.85,9.63,9.6284,0.1648
d06,AF,d06sncaf,3.13,3.24,3.19,3.1837,0.0389
d06,AP,d06sncap,2.506,2.61,2.56,2.5584,0.037
d06,H,d06snch,7.86,8.344,8.11,7.8445,1.3994
d06,L,d06sncl,1.55,1.63,1.59,1.5905,0.0301
d06,V,d06sncv,0.265,0.32,0.31,0.3061,0.05
